ID|group|gender|gene_expression
S448|control|F|0.008383849928522256
S190|control|M|0.10854852571496944
S515|case|F|1.3640740613851823
S873|case|F|1.3123359355511335
S894|case|F|1.5659518370948937
S987|control|F|2.384967330711097
S278|control|F|1.3979963770935753
S856|control|M|0.5493090141054789
S296|control|M|0.1950132792330928
S961|control|F|0.7319695020012079
S730|control|F|0.4893372168846516
S624|control|F|0.3121699363132221
S722|control|M|0.28909420380393497
S194|control|M|0.20358079732747866
S541|control|F|0.36218044714224007
S626|control|F|0.6978100304717146
S833|control|M|1.4185560292233947
S232|case|M|0.879278620527709
S793|control|F|2.467651056434603
S538|case|F|0.848708723117844
S804|control|F|0.22277369910299966
S211|control|F|0.39334121708173975
S458|case|F|0.3457811195677531
S377|control|F|0.9182691514794155
S201|case|F|2.20967688344938
S719|control|F|0.46975143408304293
S875|case|F|0.9002742811553509
S998|case|M|0.6033308184539439
S866|control|F|0.3488819182174932
S757|control|M|1.618570747815795
S2|control|F|2.4653250820614763
S702|case|F|0.569320812047759
S495|case|F|1.5133271270839703
S917|control|F|0.22179313639949394
S357|control|M|1.4471656006682223
S659|control|F|0.480787340132024
S789|control|M|0.38872794685481127
S837|control|F|0.4142976411940093
S723|control|F|0.05728515015601808
S835|control|F|2.979596771061134
S942|control|F|0.6623740117246331
S562|case|F|0.9260222817189787
S200|case|F|1.0250418436453235
S436|case|F|0.5780416005293351
S91|case|M|0.4614594398386087
S612|control|M|0.7439744037859244
S392|control|M|0.17729882264556748
S273|case|F|0.9355055235443047
S827|case|M|1.3278326518255472
S870|case|M|0.9355165762536322
S679|case|F|0.3870495557223097
S945|case|M|0.031593580094316225
S994|control|F|1.3421792842550249
S104|case|F|0.3337558284276203
S119|case|F|1.452273116230195
S98|control|F|1.5330687182901823
S845|control|F|0.3601711344294524
S233|control|F|0.5914530866303224
S391|control|F|0.4490217306938231
S725|control|F|1.1055751361580652
S986|case|M|1.713350884093643
S20|case|F|1.872838532014975
S627|control|F|0.290245808612464
S695|control|F|1.412064304423644
S848|case|F|1.2960274577280204
S492|control|F|1.068567708467883
S397|control|M|0.6020222707537134
S183|control|F|0.004024911987938255
S755|control|F|0.21045072837938664
S508|case|F|0.415311137677395
S765|case|F|0.8310380238800615
S139|control|F|0.011022696775798193
S829|control|M|0.3642780862496787
S4|case|F|0.7886022349867927
S302|case|F|1.3887896546152156
S683|case|M|1.459303305122218
S399|control|F|0.23933926643124
S914|control|F|1.1035221312612262
S427|control|M|0.8152206814284187
S511|case|F|0.43072710982971674
S81|case|F|1.299603423510542
S803|control|M|0.782687746991332
S604|control|F|0.5387185317773264
S992|control|M|1.008282966705224
S745|control|F|1.983636497648969
S774|control|F|0.6641456069283278
S116|control|M|0.14024686680507428
S740|case|F|0.6136809860265597
S32|control|M|0.6164509224048732
S748|control|F|0.004102038558737831
S147|case|M|1.2100169332893844
S451|case|F|0.948165105381745
S884|control|M|1.3868225346111414
S853|control|M|0.4772343031111985
S5|control|F|0.41253271566157745
S65|case|F|0.5644699363666568
S128|control|F|0.26957242341887616
S762|case|M|0.12113345538064477
S151|control|F|0.8042673576917392
S77|control|M|0.17129279758504132
S443|case|F|0.5258998036452656
S990|control|M|0.12466677507838002
S548|control|M|0.5217764481859903
S535|control|F|0.17901970086637228
S353|control|F|0.09298154159008849
S86|control|F|0.7946976277250961
S572|control|F|0.32757536557189987
S167|control|F|0.536268551747575
S66|case|F|2.5690035859723954
S968|control|F|0.09547583184735872
S747|case|F|0.10982064509012934
S482|control|M|0.8754223768039278
S742|control|F|0.09470831125533102
S174|control|F|1.4656550050862371
S600|case|M|0.7448819430771505
S570|control|F|0.649438370907116
S899|control|F|1.5575424720309945
S642|case|M|2.2022628536230666
S933|control|F|2.0977918732737453
S623|case|F|1.0445129308654617
S258|case|F|0.9081068684171297
S995|case|F|1.1174068414601646
S640|case|F|0.85017367744415
S355|control|F|0.48769593817708484
S168|case|F|1.5852773172016943
S556|case|F|0.5788246210616129
S286|control|M|1.0584366425059322
S466|control|F|0.6657657311843238
S931|control|F|0.3042001701783497
S494|control|F|0.07015437377347458
S285|control|F|0.8284712168968386
S743|control|M|0.46873071328501575
S980|control|F|1.053115973463552
S788|control|F|0.8146545193918624
S910|control|F|0.533489021449304
S588|control|F|0.6274509686233909
S783|case|F|1.1630783418522272
S599|case|F|0.6684082546649511
S686|control|M|0.049997178171610236
S621|control|M|0.36657599024461573
S943|control|M|1.8573581657899187
S733|case|F|1.103528385398013
S567|control|F|0.5008949669335724
S960|control|F|0.8963076670550553
S343|control|M|0.9610053430500842
S932|control|F|1.1242419156049548
S51|control|F|0.9970062100877606
S118|case|M|0.2288057938270719
S380|control|F|1.3129227469784313
S641|control|F|1.4859794140389098
S577|control|F|0.38928154211931243
S444|case|F|2.8002471442038424
S831|control|M|0.5066593810873842
S617|case|F|0.21009576927840512
S589|case|F|1.4796879989452094
S524|control|M|0.47764894426395915
S602|control|F|0.9308356346633864
S934|case|M|1.9502195126147919
S237|control|F|0.6408322925206981
S947|control|M|1.8207806537072138
S715|control|F|0.9517459641149852
S474|control|F|1.4336365262363326
S69|case|M|0.6714858589089979
S879|control|M|0.7175122160015455
S143|control|F|0.4929852047801501
S545|control|M|1.1038729032429846
S758|case|F|1.2846613541455194
S584|control|F|0.9741995922581371
S193|control|F|0.01792319089390475
S825|control|F|1.2815738406346966
S517|control|M|0.664237328279198
S120|control|F|0.8461850952710439
S9|case|M|0.6303188880961133
S29|case|F|0.2032000968532069
S229|control|F|0.2946843576721413
S283|case|F|1.2477309930231615
S172|control|M|1.1437764028083217
S468|case|F|1.535739199403115
S48|control|F|1.8916453966716489
S977|case|M|0.5848088784666565
S529|case|F|1.056638569577003
S413|control|F|1.0091960396589836
S396|control|F|0.08248056124712745
S76|control|M|1.2968621257704154
S19|control|F|1.05881702171119
S239|control|F|1.1813518317883906
S136|control|F|1.2180601092370877
S813|control|F|0.9117083669802495
S606|control|F|0.05322489119032016
S850|control|F|0.990423889034959
S290|control|M|0.8738017171897905
S342|control|M|0.18745644169144907
S97|control|F|0.6868484059889677
S171|case|F|0.16306574418723435
S461|control|F|1.115659150902075
S176|control|F|1.1180308042634706
S375|case|F|2.7364261052039134
S790|case|F|0.5239976599123659
S607|control|F|0.7026437851934105
S736|control|M|0.45789197385901964
S890|control|F|0.04566590024175223
S96|control|F|1.2548798401947634
S322|control|F|0.7573398515582952
S685|case|F|0.9976817314835937
S187|control|M|1.234933377471025
S75|control|F|0.8376369204358002
S781|control|M|1.1243422203508504
S963|control|F|1.0033879436857385
S407|control|F|0.5403643313571019
S664|case|F|1.0489346954942613
S63|case|M|0.649412445579325
S959|case|F|0.5366139066807455
S938|control|F|0.1981799143764938
S557|control|M|0.6341490647799795
S798|control|F|0.14956440514707786
S955|control|M|0.45631517916111963
S442|case|M|1.5379770138579385
S649|control|F|1.3767983418896448
S416|case|M|0.23437733639842404
S267|case|F|1.212691730511684
S293|control|F|2.007975192617311
S904|case|F|0.4410790265087301
S329|control|M|0.15671558743218703
S268|control|F|0.2540694561385278
S822|case|M|0.5722492294384618
S653|case|M|0.29484971238686813
S196|case|F|2.1538019375164628
S540|control|F|0.43653495880295556
S744|case|M|0.29890897403451555
S628|control|M|0.6800451979880561
S489|control|M|0.021264918710559456
S889|case|F|1.0357702934040238
S41|control|M|1.3802156747811671
S533|control|F|0.215277935019268
S364|case|F|0.7322709503085594
S670|control|F|1.5753420849119324
S160|control|M|1.6686326659349286
S669|control|F|0.6386924820384373
S521|case|M|0.44416877499404905
S520|control|F|0.8335146881745844
S21|case|F|1.4671929741312013
S573|control|F|0.12881374208327814
S539|control|M|0.6253015485570184
S726|control|M|0.38403778549871426
S471|control|F|0.03488045778432449
S321|case|F|0.8195988244618877
S729|case|F|1.1424408748940444
S881|control|M|1.8945938876457724
S295|case|F|1.197513608839783
S186|control|F|0.6424506244340201
S434|control|F|1.1755075428263666
S191|case|F|1.076367851909921
S919|control|F|0.9581001682083299
S908|control|M|0.059151026885633236
S493|control|F|1.0646236039917711
S335|case|F|0.6057720604998832
S643|control|M|1.1325254871323034
S488|control|F|0.9296642239223476
S916|case|F|1.2761986390104738
S265|case|M|0.7134968500999905
S794|control|F|0.06694958417405765
S426|control|M|0.0858920869476687
S292|case|M|1.0126388457946685
S673|control|F|1.1093813167800957
S749|case|F|1.745982219869007
S772|case|F|1.636187080594125
S578|case|F|0.3985757870772965
S764|case|F|2.031075673022469
S433|case|F|0.5527241735833253
S844|case|F|0.5200967733896904
S665|case|F|0.3377736772545128
S215|case|M|2.7159580347203174
S61|case|M|0.847324025483392
S454|case|F|1.2444487121108698
S74|case|F|1.9761918015525886
S7|control|F|0.3538908780533845
S923|control|F|1.3129561061671178
S865|control|F|0.7495481445975255
S262|case|F|0.46148007619002973
S246|control|F|0.07312783944354179
S50|control|M|1.5278901748240077
S455|case|F|0.6735944261646457
S778|case|F|2.0825266083162224
S58|control|F|0.05977087970643796
S470|control|M|0.8902765789969816
S937|control|F|1.1635857952918702
S503|control|F|0.6815574789934213
S323|case|F|0.45793619527288876
S155|case|M|2.4687752076700886
S823|case|F|1.4364968040953408
S37|control|F|0.6432284140982379
S639|control|F|0.7784035999893564
S389|control|M|0.9418945805906738
S199|control|F|1.4804099417795848
S351|control|F|0.1230110553204448
S805|control|F|1.499162582062671
S274|control|F|0.10611793217449116
S367|case|F|1.462209644193256
S219|case|F|0.7858513609542813
S530|case|M|1.108192187528458
S920|control|M|0.553109340813823
S861|control|F|1.2572027721325028
S946|control|M|1.592964290667986
S652|control|F|0.42838615988417533
S768|control|F|0.5769703178252482
S906|control|F|2.7931657617311427
S592|case|F|0.2663824207483109
S92|control|M|2.0585273595738793
S902|case|M|0.30347392092466025
S337|control|F|0.16843196909827804
S935|control|M|0.2947089988009155
S855|control|M|0.4805674629550549
S330|control|M|1.082618607175865
S864|case|M|1.1165532594752634
S431|case|F|0.6731858996175135
S369|case|F|1.3224527745935328
S815|control|F|0.5128027977954817
S438|control|M|0.2991753951552275
S362|control|F|0.4238245574630138
S70|control|F|0.33697186749084096
S782|case|M|0.2628436693010759
S613|control|F|0.3693959398720186
S376|control|F|0.2566159670668439
S150|control|M|1.3408823035916129
S775|control|F|1.7788331597557503
S47|case|M|0.24692046618250293
S212|control|F|0.3922250864293787
S630|control|F|0.6318388279617745
S349|control|M|0.24533070801450632
S467|control|M|0.1494554946018575
S734|case|M|1.5819758204694245
S598|control|F|0.23644426902719765
S148|control|F|0.7792580474873012
S720|control|M|0.23225699914053344
S388|control|M|0.21789394702200016
S727|control|M|1.0292994969968496
S576|control|M|0.49311447756195026
S877|control|F|0.4740502576184553
S317|case|F|2.306845704975368
S970|case|M|1.3680568938955953
S348|control|F|0.8065076032583439
S728|control|F|0.7444634219063723
S828|control|M|0.2958979405919042
S507|control|M|0.15706725124745563
S67|case|F|0.42239465652847813
S409|case|F|0.19844430523498674
S408|case|M|0.2479164234037113
S620|control|F|1.6006219368599337
S687|control|F|1.399251466976562
S655|control|F|0.6032809543347756
S371|control|F|0.47868925370212145
S537|control|M|0.9814254802613153
S162|control|F|0.2651377718907634
S169|control|M|0.4306509936505087
S130|case|F|0.5682946828420058
S161|control|M|0.31917024285184886
S518|case|M|0.5789449240210104
S125|control|F|2.5013110055845393
S753|control|F|1.5415333794982449
S586|control|M|0.2747751127459597
S587|control|M|0.5691462432017582
S516|control|F|2.206561866039534
S940|control|M|1.4635233544962893
S999|control|F|0.5473256972772678
S378|control|M|0.8922275561546399
