lipid	pheno	pval	beta	std	fdr_pval
Sph(d18:1)	ADA2010_Cat	9.047884221457751e-06	0.0809985779379049	0.0182057000392616	3.9734094729153086e-05
Sph(d18:2)	ADA2010_Cat	0.0256811331334522	0.0317284018593047	0.0142120803903292	0.05043243473183694
S1P(d16:1)	ADA2010_Cat	0.3966817650981933	0.0102326099478052	0.0120706635389755	0.48795586301047644
S1P(d18:0)	ADA2010_Cat	0.0077414481138887	-0.0436232976415841	0.0163655275676515	0.01699841781621064
S1P(d18:1)	ADA2010_Cat	0.0662524796409065	-0.0223328711944418	0.0121532014435397	0.11109001636758059
S1P(d18:2)	ADA2010_Cat	0.340767961770042	-0.0105222425120756	0.0110428854559134	0.43295113403199825
dhCer(d18:0/16:0)	ADA2010_Cat	0.0560237205417129	0.0171607948515791	0.0089760267157044	0.09810060769962387
dhCer(d18:0/18:0)	ADA2010_Cat	0.2052031380421554	0.0156915846511786	0.0123825264669769	0.2810538029290247
dhCer(d18:0/20:0)	ADA2010_Cat	0.6484624286828327	0.0058053260851768	0.0127320682590787	0.7205138096475918
dhCer(d18:0/22:0)	ADA2010_Cat	0.0593397383133328	0.0225352244893086	0.0119446917146524	0.1019709788821247
dhCer(d18:0/24:0)	ADA2010_Cat	0.0291589330805032	0.0264135759884586	0.0121011122883457	0.05512964568751174
dhCer(d18:0/24:1)	ADA2010_Cat	0.43980268656935	0.0093430462005288	0.0120919800530798	0.5290380142790732
Cer(d16:1/16:0)	ADA2010_Cat	0.2198498811568742	0.0180508423713943	0.014708103165141	0.29767602179478886
Cer(d16:1/18:0)	ADA2010_Cat	0.000437830748817	0.050271412228665	0.0142758262204582	0.0013817472301068821
Cer(d16:1/20:0)	ADA2010_Cat	0.0148745265629335	0.0307145517367785	0.0126018102576602	0.030933063866994643
Cer(d16:1/22:0)	ADA2010_Cat	0.0146643439172724	0.0345057773556866	0.0141274228498634	0.030581420732000233
Cer(d16:1/23:0)	ADA2010_Cat	0.0030936755448805	0.0452210197586308	0.0152695858343172	0.007664927469405417
Cer(d16:1/24:0)	ADA2010_Cat	0.0186504686048143	0.0360934429423003	0.0153317179460516	0.03748157128812559
Cer(d16:1/24:1)	ADA2010_Cat	0.7097511409273043	0.0046525095653004	0.0124987555363126	0.7741043981204502
Cer(d17:1/16:0)	ADA2010_Cat	0.3505580669044732	0.0105783697367217	0.0113294781700721	0.44219330627767894
Cer(d17:1/18:0)	ADA2010_Cat	0.000155639430279	0.0421681657997376	0.0111308952951716	0.0005360196146538173
Cer(d17:1/20:0)	ADA2010_Cat	0.6440435246600096	0.0053957331265399	0.0116761559208831	0.7184894159513547
Cer(d17:1/22:0)	ADA2010_Cat	0.1066418575837926	0.0184533493730685	0.0114324207345038	0.1645218248969291
Cer(d17:1/23:0)	ADA2010_Cat	0.0005801862307098	0.0440810882345473	0.0127931901696349	0.0017574984360917301
Cer(d17:1/24:0)	ADA2010_Cat	0.0149075006587926	0.0303401585813193	0.0124523034961294	0.030933063866994643
Cer(d17:1/24:1)	ADA2010_Cat	0.8005388823177209	-0.0025654750933277	0.0101530647966355	0.8400091938352823
Cer(d18:1/16:0)	ADA2010_Cat	0.2349631171844128	0.0098076647663704	0.0082556674624676	0.31607680269540134
Cer(d18:1/18:0)	ADA2010_Cat	0.0011906286206764	0.0329582137135132	0.010155678551157	0.0032507294577678028
Cer(d18:1/20:0)	ADA2010_Cat	0.5359563758754795	0.0055850446049266	0.009022176191999	0.6204236987122008
Cer(d18:1/21:0)	ADA2010_Cat	0.0816234440668363	0.0200769067262525	0.0115243425012314	0.13154846325334782
Cer(d18:1/22:0)	ADA2010_Cat	0.0005857481159993	0.0296164953713133	0.008601757144971	0.0017632678252184567
Cer(d18:1/23:0)	ADA2010_Cat	1.2710333285446898e-05	0.0405038369815568	0.009258312572609	5.30129478739745e-05
Cer(d18:1/24:0)	ADA2010_Cat	0.0010222478122698	0.0315161568659566	0.0095832409082762	0.00282821894727978
Cer(d18:1/24:1)	ADA2010_Cat	0.8129755910027628	-0.0019913104419506	0.0084157510768479	0.8487669692230102
Cer(d18:1/26:0)	ADA2010_Cat	0.7039268411095219	-0.0040731896982785	0.0107168400330944	0.7710154872816183
Cer(d18:2/16:0)	ADA2010_Cat	0.3558850226298367	-0.009471211625391	0.0102565987998958	0.44755237694358246
Cer(d18:2/18:0)	ADA2010_Cat	0.110295115738601	0.0204477413570787	0.0127998094456448	0.16859106088957426
Cer(d18:2/20:0)	ADA2010_Cat	0.817932338643537	0.0025385602689043	0.011026080165606	0.8516769200720197
Cer(d18:2/22:0)	ADA2010_Cat	0.4137583722818364	0.0099280118574008	0.0121450939267416	0.5042870029279357
